T=0	200	0	0	0	0
T=1	199	1	0	0	0
T=2	199	1	0	0	0
T=3	199	1	0	0	0
T=4	199	1	0	0	0
T=5	199	1	0	0	0
T=6	199	1	0	0	0
T=7	199	1	0	0	0
T=8	199	0	1	0	0
T=9	198	1	0	1	0
T=10	198	1	0	1	0
T=11	198	1	0	1	0
T=12	198	1	0	1	0
T=13	198	1	0	1	0
T=14	198	1	0	1	0
T=15	198	1	0	1	0
T=16	198	0	1	1	0
T=17	197	1	0	2	0
T=18	197	1	0	2	0
T=19	197	1	0	2	0
T=20	197	1	0	2	0
T=21	197	1	0	2	0
T=22	197	1	0	2	0
T=23	197	1	0	2	0
T=24	197	0	1	2	0
T=25	196	1	0	3	0
T=26	196	1	0	3	0
T=27	196	1	0	3	0
T=28	196	1	0	3	0
T=29	196	1	0	3	0
T=30	196	0	1	3	0
T=31	195	1	0	4	0
T=32	195	1	0	4	0
T=33	195	1	0	4	0
T=34	195	1	0	3	1
T=35	195	1	0	3	1
T=36	195	0	1	3	1
T=37	194	1	0	4	1
T=38	194	1	0	4	1
T=39	194	1	0	3	2
T=40	194	1	0	3	2
T=41	194	1	0	3	2
T=42	194	1	0	2	3
T=43	194	1	0	2	3
T=44	194	0	1	2	3
T=45	193	1	0	2	4
T=46	193	1	0	2	4
T=47	193	1	0	2	4
T=48	193	1	0	2	4
T=49	193	1	0	2	4
T=50	193	1	0	1	5
T=51	193	1	0	1	5
T=52	193	0	1	1	5
T=53	192	1	0	2	5
T=54	192	1	0	2	5
T=55	192	1	0	2	5
T=56	192	1	0	2	5
T=57	192	1	0	2	5
T=58	192	1	0	2	5
T=59	192	1	0	2	5
T=60	192	0	1	2	5
T=61	191	1	0	3	5
T=62	191	1	0	3	5
T=63	191	1	0	3	5
T=64	191	1	0	3	5
T=65	191	1	0	3	5
T=66	191	1	0	3	5
T=67	191	1	0	3	5
T=68	191	1	0	3	5
T=69	191	1	0	3	5
T=70	191	1	0	2	6
T=71	191	1	0	2	6
T=72	191	1	0	2	6
T=73	191	1	0	2	6
T=74	191	1	0	2	6
T=75	191	0	1	2	6
T=76	190	1	0	3	6
T=77	190	1	0	3	6
T=78	190	1	0	2	7
T=79	190	1	0	2	7
T=80	190	1	0	2	7
T=81	190	0	1	2	7
T=82	189	1	0	3	7
T=83	189	1	0	3	7
T=84	189	1	0	3	7
T=85	189	1	0	3	7
T=86	189	1	0	2	8
T=87	189	1	0	2	8
T=88	189	1	0	2	8
T=89	189	0	1	2	8
T=90	188	1	0	2	9
T=91	188	1	0	2	9
T=92	188	1	0	2	9
T=93	188	1	0	2	9
T=94	188	1	0	2	9
T=95	188	1	0	2	9
T=96	188	1	0	2	9
T=97	188	1	0	2	9
T=98	188	1	0	2	9
T=99	188	1	0	2	9
T=100	188	1	0	2	9
T=101	188	1	0	2	9
T=102	188	1	0	2	9
T=103	188	1	0	2	9
T=104	188	0	1	2	9
T=105	187	1	0	3	9
T=106	187	1	0	3	9
T=107	187	1	0	3	9
T=108	187	1	0	3	9
T=109	187	1	0	3	9
T=110	187	0	1	3	9
T=111	186	1	0	4	9
T=112	186	1	0	4	9
T=113	186	1	0	3	10
T=114	186	1	0	3	10
T=115	186	1	0	2	11
T=116	186	1	0	2	11
T=117	186	1	0	2	11
T=118	186	1	0	2	11
T=119	186	1	0	1	12
T=120	186	1	0	1	12
T=121	186	1	0	1	12
T=122	186	1	0	1	12
T=123	186	1	0	1	12
T=124	186	1	0	1	12
T=125	186	0	1	1	12
